Exposure,Sample_type,Organism,Full_ID,Station,Group,Individual,Length_mm,Width_mm,Height_mm,Lab_weight,Bag_weight,Final_Weight,Comments
Pre,,Olympia,MID-02,MID,O2,,19.81,,,11.1,,0.74,
Pre,,Olympia,MID-02,MID,O2,,19.96,,,11.1,,0.74,
Pre,,Olympia,MID-02,MID,O2,,17.02,,,11.1,,0.74,
Pre,,Olympia,MID-02,MID,O2,,21.32,,,11.1,,0.74,
Pre,,Olympia,MID-02,MID,O2,,15.56,,,11.1,,0.74,
Pre,,Olympia,MID-02,MID,O2,,18.59,,,11.1,,0.74,
Pre,,Olympia,MID-03,MID,O3,,16.35,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,16.48,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,13.74,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,20.96,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,20.05,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,18.35,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,17.34,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,15.38,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,19.65,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,14.61,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,16.78,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,14.12,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,18.27,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,12.37,,,10.42,,0.694666667,
Pre,,Olympia,MID-03,MID,O3,,16.72,,,10.42,,0.694666667,
Pre,,Olympia,EDG-01,EDG,O1,,17.52,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,13.18,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,20.93,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,15.29,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,17.53,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,15.61,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,18.24,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,15.33,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,16.63,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,15.87,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,17.7,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,16.51,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,16.05,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,13.53,,,9.47,,0.631333333,
Pre,,Olympia,EDG-01,EDG,O1,,14.58,,,9.47,,0.631333333,
Pre,,Olympia,EDG-02,EDG,O2,,13.24,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,18.77,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,17.52,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,14.56,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,13.57,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,12.88,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,13.88,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,14.95,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,14.93,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,15,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,12.08,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,18.78,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,13.13,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,12.83,,,7.16,,0.477333333,
Pre,,Olympia,EDG-02,EDG,O2,,14.36,,,7.16,,0.477333333,
Pre,,Olympia,EDG-03,EDG,O3,,17.37,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,15.59,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,17.54,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,12.1,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,20.01,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,17.3,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,20.18,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,10.61,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,11.91,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,13.24,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,15.66,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,15.16,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,13.01,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,17.93,,,8.36,,0.557333333,
Pre,,Olympia,EDG-03,EDG,O3,,12.23,,,8.36,,0.557333333,
Pre,,Olympia,OUT-01,OUT,O1,,16,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,12.1,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,14.3,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,14.04,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,17.25,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,14.52,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,16.31,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,15.24,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,17.11,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,20.24,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,14.14,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,16.25,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,15.47,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,18.39,,,8.88,,0.592,
Pre,,Olympia,OUT-01,OUT,O1,,17.34,,,8.88,,0.592,
Pre,,Olympia,OUT-02,OUT,O2,,18.25,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,16.24,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,16.94,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,17.24,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,22.85,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,20.89,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,20.11,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,15.94,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,22.17,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,14.88,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,19.18,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,11.62,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,20.96,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,17.8,,,13.48,,0.898666667,
Pre,,Olympia,OUT-02,OUT,O2,,13.54,,,13.48,,0.898666667,
Pre,,Olympia,OUT-03,OUT,O3,,18.8,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,13.66,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,22.24,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,15.23,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,12.16,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,13.29,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,18,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,14.23,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,16.07,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,16.95,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,18.08,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,23.55,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,22.16,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,15.03,,,11.02,,0.734666667,
Pre,,Olympia,OUT-03,OUT,O3,,13.69,,,11.02,,0.734666667,
Pre,,Pacific,MID-P1,MID,P1,,42.29,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,34.34,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,27.49,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,27.29,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,35.58,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,34.43,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,32.78,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,33.04,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,28.89,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,32.29,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,31.15,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,30,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,29.96,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,31.31,,,45.91,,3.060666667,
Pre,,Pacific,MID-P1,MID,P1,,38.09,,,45.91,,3.060666667,
Pre,,Pacific,MID-P2,MID,P2,,31.79,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,34.08,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,32.79,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,35.52,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,31.98,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,30.08,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,29.79,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,29.41,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,25.28,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,28.73,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,34.04,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,34.44,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,30.32,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,26.93,,,41.4,,2.76,
Pre,,Pacific,MID-P2,MID,P2,,30.28,,,41.4,,2.76,
Pre,,Pacific,MID-P3,MID,P3,,35.4,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,28.98,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,28.97,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,25.4,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,25.43,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,29.02,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,31.97,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,30.78,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,27.24,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,34.74,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,32.28,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,30.18,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,27.54,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,31.09,,,50.34,,3.356,
Pre,,Pacific,MID-P3,MID,P3,,32.05,,,50.34,,3.356,
Pre,,Pacific,EDG-P1,EDG,P1,,33.74,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,26.05,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,27.57,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,28,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,30.02,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,29.69,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,23.56,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,26.12,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,31.69,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,28.12,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,31.22,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,39.22,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,30.24,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,27.63,,,35.07,,2.338,
Pre,,Pacific,EDG-P1,EDG,P1,,32.39,,,35.07,,2.338,
Pre,,Pacific,EDG-P2,EDG,P2,,31.85,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,24.88,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,30.98,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,33.93,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,35.58,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,25.12,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,27.65,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,34.51,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,32.28,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,26.78,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,27.65,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,30.71,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,28.5,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,32.14,,,33.96,,2.264,
Pre,,Pacific,EDG-P2,EDG,P2,,29.32,,,33.96,,2.264,
Pre,,Pacific,EDG-P3,EDG,P3,,34.81,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,27.3,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,30.19,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,29.52,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,30.57,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,31.17,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,26.22,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,25.86,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,33.74,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,33.16,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,24.5,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,27.4,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,25.93,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,35.62,,,35.29,,2.352666667,
Pre,,Pacific,EDG-P3,EDG,P3,,24.19,,,35.29,,2.352666667,
Pre,,Pacific,OUT-P1,OUT,P1,,36.53,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,39.63,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,41.14,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,31.14,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,34.76,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.5,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,33.18,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.49,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.57,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.52,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,31.99,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.92,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,32.92,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,34.53,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P1,OUT,P1,,28.23,,,50.44,,3.362666667,
Pre,,Pacific,OUT-P2,OUT,P2,,32.16,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,38.97,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,23.96,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,28.37,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,32.1,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,25.33,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,30.08,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,34.45,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,38.66,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,30.92,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,29.03,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,29.55,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,34.44,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,35.49,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,32.07,,,43.99,,2.749375,
Pre,,Pacific,OUT-P2,OUT,P2,,33.81,,,43.99,,2.749375,
Pre,,Pacific,OUT-P3,OUT,P3,,33.81,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,29.86,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,34.57,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,38.11,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,37.36,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,39.11,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,30.92,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,29.78,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,30.95,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,39.09,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,27.72,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,29.24,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,37.3,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,40.52,,,50.34,,3.356,
Pre,,Pacific,OUT-P3,OUT,P3,,35.86,,,50.34,,3.356,
